terminal_name,installed,install_date,common_name,temporary,place_id,locked,removal_date
022182,true,1324549980000,"South Parade, Chelsea",false,BikePoints_430,false,
022183,true,1323355020000,"Crinan Street, King's Cross",false,BikePoints_431,false,
022158,true,1319448720000,"Exhibition Road Museums 1, South Kensington",false,BikePoints_432,false,
022169,true,1323361560000,"Wren Street, Holborn",false,BikePoints_433,false,
022170,true,1323346020000,"Kennington Station, Kennington",false,BikePoints_435,false,
200121,true,1384254300000,"Shoreditch Court, Haggerston",false,BikePoints_698,false,
200057,true,1384256040000,"Belford House, Haggerston",false,BikePoints_699,false,
200201,true,1384343280000,"Battersea Church Road, Battersea",false,BikePoints_700,false,
200077,true,1384345080000,"Vicarage Crescent, Battersea",false,BikePoints_701,false,
200213,true,1384345860000,"Durant Street, Bethnal Green",false,BikePoints_702,false,
200094,true,1384357800000,"St. Bride Street, Holborn",false,BikePoints_703,false,
200063,true,1384443480000,"Mexfield Road, East Putney",false,BikePoints_704,false,
300042,true,1384453020000,"Upper Richmond Road, Putney",true,BikePoints_705,false,1539845700000
200193,true,1384420920000,"Snowsfields, London Bridge",false,BikePoints_706,false,
200197,true,1384435680000,"Barons Court Station, West Kensington",false,BikePoints_707,false,
200217,true,1384530180000,"Disraeli Road, Putney",false,BikePoints_708,false,
200205,true,1384510140000,"Montserrat Road , Putney",false,BikePoints_709,false,
300045,true,1384520580000,"Albert Bridge Road, Battersea Park",false,BikePoints_710,false,
300028,true,1384791540000,"Everington Street, Fulham",false,BikePoints_711,false,
300056,true,1384797120000,"Mile End Stadium, Mile End",false,BikePoints_712,false,
200122,true,1384774620000,"Hawley Crescent, Camden Town",false,BikePoints_713,false,
300055,true,1384865400000,"Stewart's Road, Wandsworth Road",false,BikePoints_714,false,
300049,true,1384868460000,"Aylward Street, Stepney",false,BikePoints_715,false,
300024,true,1384952400000,"Dunston Road , Haggerston",false,BikePoints_717,false,
300040,true,1384962840000,"Ada Street, Hackney Central",false,BikePoints_718,false,
300011,true,1384968480000,"Victoria Park Road, Hackney Central",false,BikePoints_719,false,
300038,true,1385025840000,"Star Road, West Kensington",false,BikePoints_720,false,
300039,true,1385028480000,"Wendon Street, Old Ford",false,BikePoints_721,false,
300041,true,1385028600000,"Finnis Street, Bethnal Green",false,BikePoints_722,false,
300053,true,1385035380000,"Stephendale Road, Sands End",false,BikePoints_723,false,
300046,true,1385125380000,"Alma Road, Wandsworth",false,BikePoints_724,false,
300050,true,1563352500000,"Walworth Square, Walworth",false,BikePoints_725,false,
300047,true,1385128740000,"Alfreda Street, Battersea Park",false,BikePoints_726,false,
300054,true,1385132160000,"Chesilton Road, Fulham",false,BikePoints_727,false,
300044,true,1385466780000,"Putney Bridge Road, East Putney",false,BikePoints_728,false,
300043,true,1385391300000,"St. Peter's Terrace, Fulham",false,BikePoints_729,false,
300082,true,1385132580000,"Bridge Avenue, Hammersmith",false,BikePoints_730,false,
300095,true,1385394720000,"Michael Road, Walham Green",false,BikePoints_731,false,
