removal_date,locked,temporary,place_id,terminal_name,installed,common_name,install_date
,false,false,BikePoints_399,002687,true,"Brick Lane Market, Shoreditch",1299582900000
,false,false,BikePoints_400,001225,true,"George Street, Marylebone",1299583260000
,false,false,BikePoints_401,002701,true,"Columbia Road, Shoreditch",1299592500000
,false,false,BikePoints_402,010625,true,"Penfold Street, Marylebone",1299592860000
,false,false,BikePoints_403,010630,true,"George Place Mews, Marylebone",1299593640000
,false,false,BikePoints_404,001110,true,"Palace Gate, Kensington Gardens",1299669180000
,false,false,BikePoints_405,001107,true,"Gloucester Road Station, South Kensington",1299669300000
,false,false,BikePoints_408,001129,true,"Sun Street, Liverpool Street",
,false,false,BikePoints_409,010624,true,"Strata, Elephant & Castle",
,false,false,BikePoints_410,001058,true,"Edgware Road Station, Marylebone",
,false,false,BikePoints_411,010629,true,"Rotherhithe Roundabout, Rotherhithe",
,false,false,BikePoints_412,010628,true,"Cleaver Street, Kennington",1302006180000
,false,false,BikePoints_419,022160,true,"Chelsea Bridge, Pimlico",1308735300000
,false,false,BikePoints_420,022162,true,"Southwark Station 1, Southwark",1309258380000
,false,false,BikePoints_421,022163,true,"Southwark Station 2, Southwark",1309258440000
,false,false,BikePoints_423,022164,true,"Eaton Square (South), Belgravia",1309860240000
,false,false,BikePoints_424,022159,true,"Ebury Bridge, Pimlico",1324551120000
,false,false,BikePoints_426,022161,true,"Vincent Street, Pimlico",1310463720000
,false,false,BikePoints_427,022180,true,"Cheapside, Bank",1310725680000
,false,false,BikePoints_428,022179,true,"Exhibition Road, Knightsbridge",1318496100000
,false,false,BikePoints_430,022182,true,"South Parade, Chelsea",1324549980000
,false,false,BikePoints_431,022183,true,"Crinan Street, King's Cross",1323355020000
,false,false,BikePoints_432,022158,true,"Exhibition Road Museums 1, South Kensington",1319448720000
,false,false,BikePoints_433,022169,true,"Wren Street, Holborn",1323361560000
,false,false,BikePoints_698,200121,true,"Shoreditch Court, Haggerston",1384254300000
,false,false,BikePoints_699,200057,true,"Belford House, Haggerston",1384256040000
,false,false,BikePoints_700,200201,true,"Battersea Church Road, Battersea",1384343280000
,false,false,BikePoints_701,200077,true,"Vicarage Crescent, Battersea",1384345080000
,false,false,BikePoints_702,200213,true,"Durant Street, Bethnal Green",1384345860000
,false,false,BikePoints_703,200094,true,"St. Bride Street, Holborn",1384357800000
,false,false,BikePoints_704,200063,true,"Mexfield Road, East Putney",1384443480000
1539845700000,false,true,BikePoints_705,300042,true,"Upper Richmond Road, Putney",1384453020000
,false,false,BikePoints_706,200193,true,"Snowsfields, London Bridge",1384420920000
,false,false,BikePoints_707,200197,true,"Barons Court Station, West Kensington",1384435680000
,false,false,BikePoints_708,200217,true,"Disraeli Road, Putney",1384530180000
,false,false,BikePoints_709,200205,true,"Montserrat Road , Putney",1384510140000
,false,false,BikePoints_710,300045,true,"Albert Bridge Road, Battersea Park",1384520580000
,false,false,BikePoints_711,300028,true,"Everington Street, Fulham",1384791540000
,false,false,BikePoints_712,300056,true,"Mile End Stadium, Mile End",1384797120000
,false,false,BikePoints_713,200122,true,"Hawley Crescent, Camden Town",1384774620000
,false,false,BikePoints_714,300055,true,"Stewart's Road, Wandsworth Road",1384865400000
,false,false,BikePoints_715,300049,true,"Aylward Street, Stepney",1384868460000
,false,false,BikePoints_717,300024,true,"Dunston Road , Haggerston",1384952400000
,false,false,BikePoints_718,300040,true,"Ada Street, Hackney Central",1384962840000
,false,false,BikePoints_719,300011,true,"Victoria Park Road, Hackney Central",1384968480000
,false,false,BikePoints_720,300038,true,"Star Road, West Kensington",1385025840000
,false,false,BikePoints_721,300039,true,"Wendon Street, Old Ford",1385028480000
,false,false,BikePoints_722,300041,true,"Finnis Street, Bethnal Green",1385028600000
,false,false,BikePoints_723,300053,true,"Stephendale Road, Sands End",1385035380000
,false,false,BikePoints_724,300046,true,"Alma Road, Wandsworth",1385125380000
,false,false,BikePoints_725,300050,true,"Walworth Square, Walworth",1563352500000
,false,false,BikePoints_726,300047,true,"Alfreda Street, Battersea Park",1385128740000
,false,false,BikePoints_727,300054,true,"Chesilton Road, Fulham",1385132160000
,false,false,BikePoints_728,300044,true,"Putney Bridge Road, East Putney",1385466780000
,false,false,BikePoints_729,300043,true,"St. Peter's Terrace, Fulham",1385391300000
,false,false,BikePoints_730,300082,true,"Bridge Avenue, Hammersmith",1385132580000
