removal_date,common_name,locked,installed,terminal_name,install_date,temporary,place_id
,"Sail Street, Vauxhall",false,true,200039,1325711220000,false,BikePoints_441
,"Walmer Road, Avondale",false,true,200035,1325940420000,false,BikePoints_442
,"Philpot Street, Whitechapel",false,true,200033,1325941800000,false,BikePoints_443
,"Bethnal Green Garden, Bethnal Green",false,true,200047,1325944680000,false,BikePoints_444
,"Cheshire Street, Bethnal Green",false,true,200003,1325945820000,false,BikePoints_445
,"York Hall, Bethnal Green",false,true,200042,1325948880000,false,BikePoints_446
,"Jubilee Crescent, Cubitt Town",false,true,200054,1325949000000,false,BikePoints_447
,"Fisherman's Walk West, Canary Wharf",false,true,022165,1325952660000,false,BikePoints_448
,"Shadwell Station, Shadwell",false,true,200020,1325952900000,false,BikePoints_449
,"Jubilee Street, Stepney",false,true,200002,1326105240000,false,BikePoints_450
,"Hermitage Court, Wapping",false,true,200021,1325501400000,false,BikePoints_451
,"St. Katharine's Way, Tower",false,true,200049,1326109140000,false,BikePoints_452
,"Garnet Street, Shadwell",false,true,200045,1326111060000,false,BikePoints_453
,"Napier Avenue, Millwall",false,true,200046,1326115380000,false,BikePoints_454
,"East Ferry Road, Cubitt Town",false,true,200031,1326117780000,false,BikePoints_455
,"Parkway, Camden Town",false,true,200118,1326197580000,false,BikePoints_456
,"Castlehaven Road, Camden Town",false,true,200016,1326203280000,false,BikePoints_457
,"Wapping Lane, Wapping",false,true,200034,1326294780000,false,BikePoints_458
,"Gunmakers Lane, Old Ford",false,true,200014,,false,BikePoints_459
,"Burdett Road, Mile End",false,true,200123,1326284820000,false,BikePoints_460
,"Aston Street, Stepney",false,true,200013,1326293640000,true,BikePoints_461
,"Bonny Street, Camden Town",false,true,200105,1326294600000,false,BikePoints_462
,"Thurtle Road, Haggerston",false,true,200093,,false,BikePoints_463
,"St. Mary & St. Michael Church, Stepney",false,true,200082,1326304980000,false,BikePoints_464
,"Pitfield Street North,Hoxton",false,true,200152,1333613280000,false,BikePoints_465
,"Whiston Road, Haggerston",false,true,200158,1326360000000,false,BikePoints_466
,"Southern Grove, Bow",false,true,200168,1326374040000,false,BikePoints_467
,"Cantrell Road, Bow",false,true,200150,1326375720000,false,BikePoints_468
