install_date,place_id,installed,common_name,locked,temporary,terminal_name,removal_date
1325945820000,BikePoints_445,true,"Cheshire Street, Bethnal Green",false,false,200003,
1325948880000,BikePoints_446,true,"York Hall, Bethnal Green",false,false,200042,
1325949000000,BikePoints_447,true,"Jubilee Crescent, Cubitt Town",false,false,200054,
1325952660000,BikePoints_448,true,"Fisherman's Walk West, Canary Wharf",false,false,022165,
1325952900000,BikePoints_449,true,"Shadwell Station, Shadwell",false,false,200020,
1326105240000,BikePoints_450,true,"Jubilee Street, Stepney",false,false,200002,
1325501400000,BikePoints_451,true,"Hermitage Court, Wapping",false,false,200021,
1326109140000,BikePoints_452,true,"St. Katharine's Way, Tower",false,false,200049,
1326111060000,BikePoints_453,true,"Garnet Street, Shadwell",false,false,200045,
1326115380000,BikePoints_454,true,"Napier Avenue, Millwall",false,false,200046,
1326117780000,BikePoints_455,true,"East Ferry Road, Cubitt Town",false,false,200031,
1326197580000,BikePoints_456,true,"Parkway, Camden Town",false,false,200118,
1326203280000,BikePoints_457,true,"Castlehaven Road, Camden Town",false,false,200016,
1326294780000,BikePoints_458,true,"Wapping Lane, Wapping",false,false,200034,
,BikePoints_459,true,"Gunmakers Lane, Old Ford",false,false,200014,
1326284820000,BikePoints_460,true,"Burdett Road, Mile End",false,false,200123,
1326293640000,BikePoints_461,true,"Aston Street, Stepney",false,true,200013,
1326294600000,BikePoints_462,true,"Bonny Street, Camden Town",false,false,200105,
,BikePoints_463,true,"Thurtle Road, Haggerston",false,false,200093,
1326304980000,BikePoints_464,true,"St. Mary & St. Michael Church, Stepney",false,false,200082,
1333613280000,BikePoints_465,true,"Pitfield Street North,Hoxton",false,false,200152,
1326360000000,BikePoints_466,true,"Whiston Road, Haggerston",false,false,200158,
1326374040000,BikePoints_467,true,"Southern Grove, Bow",false,false,200168,
1326375720000,BikePoints_468,true,"Cantrell Road, Bow",false,false,200150,
