place_id,removal_date,locked,common_name,terminal_name,install_date,temporary,installed
BikePoints_451,,false,"Hermitage Court, Wapping",200021,1325501400000,false,true
BikePoints_452,,false,"St. Katharine's Way, Tower",200049,1326109140000,false,true
BikePoints_453,,false,"Garnet Street, Shadwell",200045,1326111060000,false,true
BikePoints_454,,false,"Napier Avenue, Millwall",200046,1326115380000,false,true
BikePoints_455,,false,"East Ferry Road, Cubitt Town",200031,1326117780000,false,true
BikePoints_456,,false,"Parkway, Camden Town",200118,1326197580000,false,true
BikePoints_457,,false,"Castlehaven Road, Camden Town",200016,1326203280000,false,true
BikePoints_458,,false,"Wapping Lane, Wapping",200034,1326294780000,false,true
BikePoints_459,,false,"Gunmakers Lane, Old Ford",200014,,false,true
BikePoints_460,,false,"Burdett Road, Mile End",200123,1326284820000,false,true
BikePoints_461,,false,"Aston Street, Stepney",200013,1326293640000,true,true
BikePoints_462,,false,"Bonny Street, Camden Town",200105,1326294600000,false,true
BikePoints_463,,false,"Thurtle Road, Haggerston",200093,,false,true
BikePoints_464,,false,"St. Mary & St. Michael Church, Stepney",200082,1326304980000,false,true
BikePoints_465,,false,"Pitfield Street North,Hoxton",200152,1333613280000,false,true
BikePoints_466,,false,"Whiston Road, Haggerston",200158,1326360000000,false,true
BikePoints_467,,false,"Southern Grove, Bow",200168,1326374040000,false,true
BikePoints_468,,false,"Cantrell Road, Bow",200150,1326375720000,false,true
